Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13261113987,"Jan 3, 2025, 8:27:11 PM",Outdoor Golf Range @ Savage Creek,Golf,,3035,0,119,4,FALSE,,,activities/14143189794.fit.gz,,,3035,3035,0,0,0,0,0,0,0,0,0,,,,,119,86,,,114,,,4,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,media/A1ACB91C-C7AF-4270-8CF2-A309BBA6F0A4.mp4
13320807302,"Jan 10, 2025, 11:43:36 PM",Afternoon Walk,Walk,,2809,2.26,137,3,FALSE,,,activities/14207286921.fit.gz,,,2809,1540,2260.4,15.889,1.468,87.8,87.2,7.6,53.4,47.8,0.1,,,,,137,100,,,119,,,3,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.805,1122.9,,,,2604,,,,,,,,,,,,,media/F41CBCFC-D7CE-48AE-9973-F4992ECBBE78.jpg
13320807365,"Jan 11, 2025, 12:43:28 AM",Afternoon Ride,Ride,,2279,8.71,134,3,FALSE,,,activities/14207286947.fit.gz,,,2279,1725,8712.8,9.64,5.051,87.4,64.4,8.6,78.6,7.6,0.3,,,,,134,102,,79,167,,,3,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.823,400.4,,,,,,,,,,,,,,,,,media/50544643-7692-4e70-b793-4563eba067de.mp4
13331012788,"Jan 12, 2025, 12:41:21 AM",Salesforce Tower & Park,Walk,,3442,3.01,133,4,FALSE,,,activities/14218284069.fit.gz,,,3442,2081,3015.2,10.16,1.449,10.6,3,0,8,47.7,0.3,,,,,133,98,,,170,,,4,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.876,0,,,,2294,,,,,,,,,,,,,media/21A888F0-4772-4052-9068-9D535B3B4350.jpg|media/C9178583-9FFD-4B03-B6F6-AAD8A02C2E26.jpg|media/69EA65FB-E100-48BC-9985-69C61523FF15.jpg|media/9F623ABA-F2CE-471D-8584-33E2735FCDA9.jpg
13340035852,"Jan 12, 2025, 11:35:27 PM",Afternoon Walk,Walk,,16494,9.85,137,6,FALSE,,,activities/14227973623.fit.gz,,,16494,3655,9854.3,26.96,2.696,230.4,198.6,0,83,50,0.3,,,,,137,88,,,383,,,6,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.597,763.4,,,,5496,,,,,,,,,,,,,media/DA263C25-8E24-4613-8849-2194CF856504.jpg|media/F3C3F479-A85B-486E-A5B7-952A18131C59.jpg
13358270168,"Jan 15, 2025, 3:10:46 AM",Sweetgreen & Amazon Scooter,Ride,,482,1.84,99,0,FALSE,,,activities/14247517076.fit.gz,,,482,390,1846.2,9.06,4.734,12.4,0,26.6,39,5.7,0.6,,,,,99,87,,76,37,,,0,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.83,0,,,,,,,,,,,,,,,,,
13399965594,"Jan 19, 2025, 4:12:46 AM",Solid core Pilates,Workout,Alyssa said it was gonna be “light” 😵,3382,0,122,7,FALSE,,,activities/14292457395.fit.gz,,,3382,3382,0,0,0,0,0,0,0,0,0,,,,,122,101,,,293,,,7,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,media/7ED0D70F-BCF9-4257-A07D-C048966C7261.jpg
13402168222,"Jan 19, 2025, 11:25:51 PM",Berkeley,Walk,,1488,1.56,125,2,FALSE,,,activities/14294865195.fit.gz,,,1488,1129,1563.3,2.5,1.385,28.4,34.6,84.4,119,13.3,-0.4,,,,,125,103,,,87,,,2,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.051,143.4,,,,1250,,,,,,,,,,,,,media/84000E94-4C0D-4E46-AA87-1638378351DE.jpg|media/AFF544AA-F12D-44E1-87F5-996673695C2B.mp4
13502767328,"Jan 31, 2025, 4:41:34 PM",Morning Ride,Ride,,1979,5.47,131,1,FALSE,,,activities/14404166995.fit.gz,,,1979,1049,5472.1,9,5.216,38.8,27,9.2,42.4,11.7,0.2,,,,,131,94,,89,118,,,1,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.765,0,,,,,,,,,,,,,,,,,
13506615123,"Feb 1, 2025, 3:25:52 AM",Evening Run,Run,,1569,5,172,18,FALSE,,HOKA Mach 5 ❄️,activities/14408326928.fit.gz,,,1569,1495,5008.9,4.18,3.35,0,0,0,0,0,0,,,,,172,151,,,295,,,18,,,,,,,,,,,,,0,,1,5123.6,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.192,0,,,,4356,,,,,,,,,,,,,
